eval/mean_reward,step
0.09357236626726882,0
0.2683840310839316,10000
0.4349087999446139,20000
0.6202163385360194,30000
0.7037972983339338,40000
0.7053357828792651,50000
0.7532806503226034,60000
0.7671612916275212,70000
